mode,day,workload_type,num_jobs,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_minutes,throughput_jobs_per_hour,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std
decentralized,bursty_high_stress,mixed_80_20,1000,PureLocal,1000,1000,0,1.0,1674.3666666666666,35.83444486472497,1483.2106556,3953.7925356528162,954.0064499900001,3243.4469339485786,529.2035530100001,1095.6411638688269,5.260670509999999e-05,9.362484301118361e-07
decentralized,bursty_high_stress,mixed_80_20,1000,RandomBidding,1000,697,303,0.697,1586.125,26.36614390416897,608.1011924533716,1427.2758413367737,151.70033503586802,692.2034229011493,456.40164407460543,1027.7703436745874,0.000247751387374462,2.3003051681400807e-05
decentralized,bursty_high_stress,only_large_long,1000,EmbeddingBidding,1000,1000,0,1.0,5209.916666666667,11.51649898430877,30977.85843,48566.63664517495,29303.524454129998,47924.419908173215,1674.330515,1561.4712945646613,0.000596249733,3.5920994990211474e-05
decentralized,bursty_high_stress,only_large_long,1000,HeuristicBidding,1000,1000,0,1.0,5483.1,10.942714887563604,33796.259848,54017.67306717552,32005.69817074,53348.25518785311,1790.561798,1668.3898185805028,0.00027016561300000004,2.0821108904985445e-05
decentralized,bursty_high_stress,only_large_long,1000,PureLocal,1000,1000,0,1.0,4307.2,13.930163447251115,34062.930008,44714.7685502789,32221.76916982,44039.44768065387,1841.162246,1660.4690033631684,5.279070259999999e-05,1.25616795031263e-06
decentralized,bursty_high_stress,only_large_long,1000,RandomBidding,1000,500,500,0.5,3088.9666666666667,9.71198566942559,13708.67157,25229.247516260206,11850.881709520001,24291.529467294564,1857.787996,1703.8418370044096,0.00025051462599999996,2.70243244379722e-05
decentralized,bursty_low_stress,homogeneous_short,1000,EmbeddingBidding,1000,1000,0,1.0,1590.5266666666669,37.72335368997271,165.05213640000002,186.29470385481687,11.480023800000001,94.28270352791687,153.5712613,162.0862023182871,0.0006087703140000001,2.3718776699010038e-05
decentralized,bursty_low_stress,homogeneous_short,1000,HeuristicBidding,1000,1000,0,1.0,1590.5266666666669,37.72335368997271,133.21191015999995,159.47704251990086,4.2096,37.18277109504221,129.00138253,151.04463972271697,0.00027092003,1.836039985681145e-05
decentralized,bursty_low_stress,homogeneous_short,1000,PureLocal,1000,1000,0,1.0,1590.755,37.717938966088425,223.59576109999995,312.5657214479351,53.928475,250.05939756709603,169.66751954,173.97505181871117,5.255660509999999e-05,8.344798281969786e-07
decentralized,bursty_low_stress,homogeneous_short,1000,RandomBidding,1000,761,239,0.761,1590.755,28.703351553193293,186.46182337713535,205.42279318464418,17.312161760841,92.96177466591122,169.1484561498029,175.27340300072566,0.00024866916688567675,2.318950854151748e-05
