mode,day,workload_type,num_jobs,rho,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_seconds,throughput_jobs_per_second,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std,makespan_seconds_pct_vs_purelocal,waiting_mean_pct_vs_purelocal,execution_mean_pct_vs_purelocal,turnaround_mean_pct_vs_purelocal
decentralized,bursty_high_stress,mixed_20_80,67,0.9,EmbeddingBidding,67,67,0,1.0,70520.43500000001,0.0009500792217177899,6949.525328358209,4316.573517245368,269.97432835820894,1118.3046837732384,6679.546955223882,4181.346744316924,0.0032764172238805966,0.005005739750817155,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,mixed_20_80,67,0.9,HeuristicBidding,67,67,0,1.0,74503.835,0.0008992825671322825,7891.075432835821,6937.465498722473,373.9855223880597,1909.8785982322822,7517.088582089553,6576.752748879259,0.00027047925373134324,1.7178376554282002e-05,-63.55% ↓,-100.0% ↓,-34.11% ↓,-92.22% ↓
decentralized,bursty_high_stress,mixed_20_80,67,0.9,PureLocal,67,67,0,1.0,182130.835,0.0003678674179471038,28558.82067164179,39439.54013852501,18061.36746268657,33389.79612626857,10497.437268656717,9233.908340668562,5.20843e-05,0.0,-73.86% ↓,-100.0% ↓,-24.0% ↓,-95.52% ↓
decentralized,bursty_high_stress,mixed_20_80,112,1.5,EmbeddingBidding,112,112,0,1.0,122910.974,0.0009112286426108705,13819.418955357143,22322.774482275647,6023.861991071428,18187.749597046663,7795.549232142856,7063.5654046816235,0.0019803428839285714,0.0032110782715092825,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,mixed_20_80,112,1.5,HeuristicBidding,112,112,0,1.0,110647.974,0.0010122191663446093,11405.00367857143,14243.726248639914,3800.380357142857,9415.57259600486,7604.618267857143,6603.455664629617,0.00027187076785714284,1.9151527381509896e-05,-59.09% ↓,-97.93% ↓,-28.39% ↓,-72.37% ↓
decentralized,bursty_high_stress,mixed_20_80,112,1.5,PureLocal,112,112,0,1.0,264423.974,0.0004235621993942198,34937.028901785714,53779.25786846049,25531.007323214286,50124.97613865793,9406.015741071427,7309.373795199762,5.2084299999999985e-05,1.361343769738014e-20,-53.52% ↓,-76.41% ↓,-17.12% ↓,-60.44% ↓
decentralized,bursty_high_stress,mixed_80_20,251,0.9,EmbeddingBidding,251,251,0,1.0,98173.784,0.002556690694534093,2761.188629482072,3013.0981423574244,2.145553784860558,24.69639876808146,2759.041864541832,3010.7209783417725,0.0019900870796812752,0.0034709977068912356,-51.29% ↓,-100.0% ↓,-16.45% ↓,-55.55% ↓
decentralized,bursty_high_stress,mixed_80_20,251,0.9,HeuristicBidding,251,251,0,1.0,98173.784,0.002556690694534093,2823.7267171314743,3852.0127872543317,0.8550796812749004,13.547009876486596,2822.871693227092,3849.1547456094763,0.00027136532270916335,1.7119121445782264e-05,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,mixed_80_20,251,0.9,PureLocal,251,251,0,1.0,119756.684,0.002095916416656961,7089.966940239044,13732.429648379533,3392.6050039840634,9874.714994008464,3697.363075697211,5467.307142101877,5.208429999999999e-05,6.789802579700796e-21,-51.38% ↓,-100.0% ↓,-18.06% ↓,-56.4% ↓
decentralized,bursty_high_stress,mixed_80_20,415,1.5,EmbeddingBidding,415,415,0,1.0,135903.974,0.003053626673197945,3844.992178313252,8792.098196392384,826.7406293493976,4609.644451586189,3018.2501614457833,4974.864771370426,0.002582925308433735,0.004199449877452637,-51.49% ↓,-85.99% ↓,-27.5% ↓,-64.37% ↓
decentralized,bursty_high_stress,mixed_80_20,415,1.5,HeuristicBidding,415,415,0,1.0,175832.974,0.0023601943967574593,4291.920368674699,12684.355422361534,1292.6863012048195,8471.132450815767,2999.231901204819,5145.014033605758,0.00027067607469879513,1.7812915239244068e-05,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,mixed_80_20,415,1.5,PureLocal,415,415,0,1.0,184808.974,0.002245561949821766,8610.982619277107,19682.384494905764,5279.125230096385,16976.338525419145,3331.8611277108434,4552.060639113793,5.20845139759036e-05,3.0785681704479683e-09,-31.63% ↓,-76.34% ↓,-13.71% ↓,-53.19% ↓
decentralized,bursty_high_stress,small_short,2880,0.9,EmbeddingBidding,2880,2880,0,1.0,399616.498,0.007206909660671717,19328.06411666667,58789.092206787514,17651.18555886528,57691.69021302555,1676.8977923611112,1807.020706899925,0.0011427219562500002,0.001913753990343846,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_high_stress,small_short,2880,0.9,HeuristicBidding,2880,2880,0,1.0,182024.498,0.015822046107222338,22626.637478124998,40942.08383580279,21162.757065369795,40590.62613477179,1463.8761302083333,1241.5627984014639,0.0002706367663194444,1.68512676488124e-05,-53.34% ↓,-99.63% ↓,-26.02% ↓,-70.74% ↓
decentralized,bursty_high_stress,small_short,2880,0.9,PureLocal,2880,2880,0,1.0,256692.498,0.011219650057712244,19599.679588888892,37360.86870961923,17923.298553692017,36606.72037397403,1676.3947267361114,1566.5861069543803,5.208433083333332e-05,1.1698395136382955e-09,-55.19% ↓,-100.0% ↓,-38.88% ↓,-73.92% ↓
decentralized,bursty_high_stress,small_short,4800,1.5,EmbeddingBidding,4800,4800,0,1.0,139109.604,0.034505166156608424,14028.282994166668,23223.781579518014,12601.772340685002,22791.925845460508,1426.5099764583333,1194.8184371876262,0.0010251067700000002,0.0017748634263376186,,,,
decentralized,bursty_high_stress,small_short,4800,1.5,HeuristicBidding,4800,4800,0,1.0,910634.604,0.005271049418631581,95709.20151520833,171564.0960161179,93622.11823476749,170455.92095998258,2087.0237097916665,2181.563522979068,0.000270281351875,1.6732565739641977e-05,,,,
decentralized,bursty_high_stress,small_short,4800,1.5,PureLocal,4800,4800,0,1.0,401640.604,0.011950982924027274,35794.5169225,66144.20507436535,34086.08900287917,65482.96284058051,1708.4412279166668,1630.4806942279652,5.20843e-05,0.0,,,,
decentralized,bursty_low_stress,large_long,54,0.9,EmbeddingBidding,54,54,0,1.0,88120.913,0.0006127943771985204,8192.98074074074,3526.0130543733244,230.29685185185187,1477.0114831528479,7962.685185185186,3096.7368521779113,0.002586860611111111,0.0044890266012304605,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_low_stress,large_long,54,0.9,HeuristicBidding,54,54,0,1.0,88120.913,0.0006127943771985204,9096.507592592592,6580.985183221781,95.39907407407408,701.0371602463713,9001.113333333333,6535.368891195339,0.00027089996296296296,1.8712977680181737e-05,-22.04% ↓,-100.0% ↓,-19.31% ↓,-52.54% ↓
decentralized,bursty_low_stress,large_long,54,0.9,PureLocal,54,54,0,1.0,129277.413,0.0004177063784529785,19649.28685185185,20766.630602362933,8249.021851851852,16122.775043503143,11400.263703703704,8170.153919518977,5.2084300000000005e-05,6.839891862029668e-21,-40.03% ↓,-86.99% ↓,-13.59% ↓,-53.89% ↓
decentralized,bursty_low_stress,large_long,91,1.5,EmbeddingBidding,91,91,0,1.0,103314.948,0.0008808018758331078,10667.632681318682,7873.896718499231,1810.8841098901103,4745.741583503835,8856.751868131867,5645.771781439612,0.0022100877472527474,0.0037362709736731043,,,,
decentralized,bursty_low_stress,large_long,91,1.5,HeuristicBidding,91,91,0,1.0,230229.948,0.00039525700626922785,15945.666307692309,26572.431023077945,4979.387956043956,19373.30650938352,10966.284835164834,10368.12152903594,0.0002727663736263736,1.8560138202699263e-05,,,,
decentralized,bursty_low_stress,large_long,91,1.5,PureLocal,91,91,0,1.0,210151.948,0.00043302001654536176,27193.303010989017,36662.97501342071,15671.183516483516,32642.306371075672,11522.143626373625,7885.838422243667,5.208429999999998e-05,2.044141647535366e-20,,,,
decentralized,bursty_low_stress,mixed_20_80,67,0.9,EmbeddingBidding,67,67,0,1.0,70452.27,0.0009509984561178795,7058.853358208956,4363.107763998882,188.71185074626865,825.7196940214924,6870.136059701493,4304.672345775811,0.002413891597014925,0.0039973556996304406,-42.8% ↓,-100.0% ↓,-34.35% ↓,-66.63% ↓
decentralized,bursty_low_stress,mixed_20_80,67,0.9,HeuristicBidding,67,67,0,1.0,66819.77,0.0010026972556176114,7787.478970149254,6751.827179615872,280.1641641791045,2003.0698979685822,7507.315462686566,6292.388555498715,0.0002720033582089552,1.6427205282241215e-05,0.0% ,0.0% ,0.0% ,0.0% 
decentralized,bursty_low_stress,mixed_20_80,67,0.9,PureLocal,67,67,0,1.0,200988.67,0.0003333521237789175,26396.125089552243,37144.50796277842,15898.675373134329,31335.84572990672,10497.437268656717,9233.908340668562,5.20843e-05,0.0,-38.7% ↓,-100.0% ↓,-28.56% ↓,-63.69% ↓
